location,house_type,sqft,bedrooms,bathrooms,furnishing,constr_info,floor_no,facing,price
"Uttam Nagar, Delhi, Delhi",['Builder Floors'],['423'],['1'],['1'],['Semi-Furnished'],['Ready to Move'],['2'],['North'],"₹ 16,95,000"
"Uttam Nagar, Delhi, Delhi",['Builder Floors'],['725'],,['3'],['Semi-Furnished'],['Ready to Move'],['3'],['West'],"₹ 35,21,000"
"Kapurai, Vadodara, Gujarat",['Apartments'],['1066'],['2'],['2'],['Unfurnished'],['Under Construction'],,,"₹ 18,49,996"
"Uttam Nagar, Delhi, Delhi",['Builder Floors'],['720'],['3'],['2'],['Furnished'],['Ready to Move'],['2'],['North'],"₹ 35,50,000"
"Nawada, Delhi, Delhi",['Builder Floors'],['520'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['1'],['South'],"₹ 22,25,000"
"Shilphata Road, Thane, Maharashtra",['Apartments'],['650'],['2'],['1'],['Semi-Furnished'],['Ready to Move'],['7'],,"₹ 20,00,000"
"Kalwar Road, Jaipur, Rajasthan",['Houses & Villas'],['1210'],['3'],['2'],['Semi-Furnished'],['Ready to Move'],['1'],['West'],"₹ 22,10,000"
"Karumalloor, Kadungalloor, Kerala",['Houses & Villas'],['1999'],['3'],['3'],['Furnished'],['Ready to Move'],,,"₹ 68,00,000"
"Sattangadu, Chennai, Tamil Nadu",['Houses & Villas'],['1800'],['2'],['2'],['Unfurnished'],['Ready to Move'],,['South'],"₹ 56,00,000"
"Thattamala, Kollam, Kerala",['Houses & Villas'],['3150'],['4'],['4+'],['Furnished'],['New Launch'],,['North-West'],"₹ 1,10,00,000"
"Nedumbassery, Kochi, Kerala",['Houses & Villas'],['3000'],['4'],['4'],['Furnished'],['Ready to Move'],,,"₹ 1,10,00,000"
"Rajendra Park, Gurgaon, Haryana",['Houses & Villas'],['1000'],['4+'],['2'],['Furnished'],['Ready to Move'],['1'],['North'],"₹ 43,00,000"
"Nedumbassery, Kochi, Kerala",['Houses & Villas'],['2200'],['4'],['4'],['Furnished'],['Ready to Move'],,,"₹ 55,00,000"
"Tripunithura, Kochi, Kerala",['Houses & Villas'],['2350'],['4'],['4'],['Semi-Furnished'],['Ready to Move'],,,"₹ 1,30,00,000"
"Govindpuram, Ghaziabad, Uttar Pradesh",['Builder Floors'],['900'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['1'],['East'],"₹ 14,50,000"
"Uttam Nagar, Delhi, Delhi",['Builder Floors'],['460'],['2'],['1'],['Semi-Furnished'],['Ready to Move'],['1'],['East'],"₹ 21,50,000"
"Thirumala, Thiruvananthapuram, Kerala",['Houses & Villas'],['1200'],['3'],['3'],['Furnished'],['Ready to Move'],,['East'],"₹ 31,00,000"
"Vasai East, Mumbai, Maharashtra",['Apartments'],['650'],['1'],['2'],['Semi-Furnished'],['Ready to Move'],['2'],['East'],"₹ 36,00,000"
"Mumbra, Thane, Maharashtra",['Apartments'],['1800'],['3'],['3'],['Furnished'],['Ready to Move'],['6'],['West'],"₹ 1,20,00,000"
"Poovalapp, South Thrikkaripur, Kerala",['Farm Houses'],['1000'],['3'],['1'],['Semi-Furnished'],['Ready to Move'],['1'],['North-East'],"₹ 50,000"
"Sijua Patrapada, Bhubaneshwar, Odisha",['Houses & Villas'],['2000'],['4+'],['4'],['Unfurnished'],['Under Construction'],['2'],['East'],"₹ 70,00,000"
