location,house_type,sqft,bedrooms,furnishing,constr_info,floor_no,facing,price
 Haryana,Houses & Villas,1300.0,3.0,Semi-Furnished,Ready to Move,2.0,North,3600000.0
 Telangana,,,,,,,,9900000.0
 Punjab,Houses & Villas,6000.0,4.0,Semi-Furnished,Ready to Move,2.0,,26000000.0
 Andhra Pradesh,Houses & Villas,1400.0,2.0,Unfurnished,New Launch,1.0,North,4500000.0
 Kerala,Houses & Villas,1000.0,2.0,Furnished,Ready to Move,,,2800000.0
 Haryana,Builder Floors,1300.0,3.0,Semi-Furnished,Ready to Move,1.0,North-East,7100000.0
 Kerala,Houses & Villas,2600.0,4.0,Semi-Furnished,Ready to Move,,East,10000000.0
 Kerala,Houses & Villas,1475.0,3.0,Furnished,Ready to Move,,,5500000.0
 Andhra Pradesh,Houses & Villas,1400.0,2.0,Unfurnished,Under Construction,1.0,North-East,4500000.0
 Andhra Pradesh,Houses & Villas,1000.0,2.0,Furnished,Under Construction,1.0,East,3500000.0
 Delhi,Builder Floors,550.0,2.0,Semi-Furnished,Ready to Move,1.0,North-East,2000000.0
 Delhi,Builder Floors,400.0,1.0,Semi-Furnished,Ready to Move,1.0,North-East,1275000.0
 Delhi,Builder Floors,700.0,3.0,Semi-Furnished,Ready to Move,1.0,North,3200000.0
 Rajasthan,Builder Floors,1322.0,3.0,Semi-Furnished,Ready to Move,1.0,North,3199999.0
 Rajasthan,Houses & Villas,1848.0,4.0,Semi-Furnished,Ready to Move,,East,6000000.0
 Rajasthan,Houses & Villas,1700.0,3.0,Semi-Furnished,Ready to Move,,West,5500000.0
 Kerala,Houses & Villas,1138.0,2.0,Semi-Furnished,Ready to Move,,North,6000000.0
 Karnataka,Houses & Villas,18528.0,4.0,Semi-Furnished,Ready to Move,,East,63500000.0
 Punjab,Builder Floors,900.0,2.0,Furnished,Ready to Move,2.0,East,2490000.0
 Delhi,Builder Floors,400.0,1.0,Semi-Furnished,Ready to Move,1.0,East,990000.0
 Delhi,Builder Floors,500.0,2.0,Semi-Furnished,Ready to Move,1.0,East,1490000.0
 Kerala,Houses & Villas,1400.0,3.0,Semi-Furnished,New Launch,,North,5500000.0
 Delhi,Builder Floors,603.0,2.0,Semi-Furnished,Ready to Move,2.0,North,2925000.0
 Delhi,Builder Floors,521.0,2.0,,Ready to Move,3.0,South,2421000.0
 Kerala,Houses & Villas,1450.0,3.0,Semi-Furnished,New Launch,,East,5000000.0
 Gujarat,Apartments,1066.0,2.0,Unfurnished,Under Construction,,,1849998.0
 Gujarat,Apartments,1066.0,2.0,Unfurnished,Under Construction,,,1849999.0
 Kerala,Houses & Villas,1999.0,4.0,Furnished,Ready to Move,,,8500000.0
 Telangana,Apartments,1560.0,3.0,Unfurnished,Ready to Move,3.0,East,8500000.0
 Kerala,Houses & Villas,1000.0,3.0,Unfurnished,Ready to Move,,East,3500000.0
 Uttar Pradesh,Farm Houses,2000.0,4.0,Semi-Furnished,Ready to Move,,North-East,15000000.0
 Uttar Pradesh,Houses & Villas,594.0,2.0,Semi-Furnished,Under Construction,,North,2100000.0
 Kerala,Houses & Villas,2000.0,4.0,Furnished,New Launch,2.0,East,99000000.0
 Kerala,Houses & Villas,2000.0,3.0,Semi-Furnished,Ready to Move,,,5800000.0
 Andhra Pradesh,Apartments,1200.0,2.0,Furnished,Ready to Move,1.0,North-West,3600000.0
 Maharashtra,Apartments,615.0,1.0,Unfurnished,Under Construction,3.0,East,4999000.0
 Kerala,Houses & Villas,1403.0,3.0,Furnished,Ready to Move,,,5100000.0
 Kerala,Houses & Villas,2007.0,4.0,,Ready to Move,,,7500000.0
 Madhya Pradesh,Houses & Villas,400.0,2.0,Furnished,Ready to Move,1.0,North,1100000.0
 Kerala,Houses & Villas,1900.0,3.0,Furnished,Ready to Move,,,7500000.0
 Kerala,Houses & Villas,2305.0,4.0,Furnished,Ready to Move,,,7800000.0
